"Date Visited","Agency","Site ID","Service Center","Site Address","Borough","Secret Shopper Language","Interaction with Security Guards","Interaction with Reception Staff","Interaction with Frontline Staff","Does Facility have signs posted notifying clients 
to the right of interpretation services?","Languages in which the facility has translated signs relating to service being provided","Languages in which the facility has translated documents","Method in which interpretation was made available","Time spent waiting for an interpreter after speaking to staff member","Did the Secret Shopper receive the information or service asked for?","Postcode","Latitude","Longitude","Community Board","Council District","BIN","BBL","Census Tract (2020)","Neighborhood Tabulation Area (NTA) (2020)"
"06/01/2022","DOB","DOB-M-09","Licensing Unit","280 Broadway Floor 1","Manhattan","French-Creole",,"2",,"Yes","None","None","Other","5 minutes or less","Yes","10007","40.714417","-74.006089","101","1","1079215","1001530001","31","MN0102"
"06/01/2022","CCHR","CHR-M-03","Human Rights Complaints/NYC Human Rights Community Service Center","22 Reade St Floor 1","Manhattan",,,,,"Yes","Spanish, Chinese","None","Bilingual staff","5-10 minutes","Yes","10007","40.714231","-74.004895","101","1","1078613","1001540023","31","MN0102"
"06/01/2022","DCWP","DCA-M-01","Licensing Unit","42 Broadway Floor 1","Manhattan",,"Excellent",,"Excellent","Yes","At least the 6 designated citywide languages or more","At least the 6 designated citywide languages or more","Bilingual staff","5 minutes or less","Yes","10004","40.70627","-74.012909","101","1","1000812","1000220020","9","MN0101"
"06/01/2022","DCWP","DCA-M-02","Consumer Services","42 Broadway Floor 9","Manhattan",,,,"Excellent","Yes","At least the 6 designated citywide languages or more","None","Bilingual staff","5 minutes or less","Yes","10004","40.70627","-74.012909","101","1","1000812","1000220020","9","MN0101"
"06/01/2022","DEP","DEP-Q-01","BCS Central Office","59-17 Junction Blvd Floor 13","Queens",,,,,"Yes","One or more languages (specific language not recorded)","One or more languages (specific language not recorded)","Bilingual staff",,"Yes","11373","40.734606","-73.864774","404","21","4047310","4019180001","455","QN0402"
"06/01/2022","DEP","DEP-Q-02","Queens Borough Office","96-05 Horace Harding Exp Ground Floor","Queens","French-Creole",,,,"Yes","None","None","Bilingual staff","5 minutes or less","Yes","11368","40.734383","-73.864309","404","21","4047337","4019180114","455","QN0402"
"06/01/2022","DFTA","DFA-M-02","Senior Employment Services","2 Lafayette St. Floor 6","Manhattan","French-Creole","Good","Good","Good","Yes","None","None","Language Line","10-30 minutes","Yes","10007","40.713723","-74.003586","101","1","1001672","1001550001","31","MN0102"
"06/01/2022","DOB","DOB-M-04","Manhattan Borough Office","280 Broadway Floor 3","Manhattan",,,,,"Yes","None","None","Bilingual staff","5 minutes or less","N/A","10007","40.714417","-74.006089","101","1","1079215","1001530001","31","MN0102"
"06/01/2022","DOE","DOE-M-05","Student Enrollment","160 East 120th Street Room 424","Manhattan",,,,,"Yes","Spanish, Chinese","Spanish","Bilingual staff","5 minutes or less","No","10035","40.801007","-73.939349","111","8","1083501","1017680021","196","MN1102"
"06/01/2022","DOHMH","DOH-B-02","Morrisania Sexual Health Clinic","1309 Fulton Ave. Fl. 2","Bronx","Spanish",,,"Excellent","Yes","At least the 6 designated citywide languages or more","N/A","Bilingual staff","5 minutes or less","Yes","10456","40.832853","-73.903028","203","16","2009620","2029250080","14701","BX0302"
"06/01/2022","DOHMH","DOH-B-04","Bronx Early Intervention Office","1309 Fulton Ave Floor 5","Bronx",,,"Excellent","Fair","Yes","At least the 6 designated citywide languages or more","None","Language Line","5-10 minutes","Yes","10456","40.832853","-73.903028","203","16","2009620","2029250080","14701","BX0302"
"06/01/2022","DOHMH","DOH-K-04","Brooklyn Early Intervention Office","16 Court St. Floor 2","Brooklyn","French-Creole",,,"Fair","No","None","N/A","None","N/A","No","11241","40.693445","-73.990577","302","33","3002108","3002500044","9","BK0201"
"06/01/2022","DOHMH","DOH-M-01","Birth/Death Certificates","125 Worth St. Room 133","Manhattan","French-Creole",,,"Good","Yes","Spanish, Chinese, Korean, Russian","None","Other (Google Translate)","N/A","Yes","10013","40.715428","-74.002673","101","1","1001831","1001680032","31","MN0102"
"06/01/2022","DOHMH","DOH-M-09","Chelsea Health Center (Tuberculosis)","303 9th Ave Floor 3","Manhattan",,,,"Excellent","Yes","At least the 6 designated citywide languages or more","French","Language Line","5 minutes or less","Yes","10001","40.749356","-73.999257","104","3","1012830","1007240082","97","MN0401"
"06/01/2022","DOHMH","DOH-M-14","Manhattan Early Intervention Office","42 Broadway Suite 1611","Manhattan","French-Creole","Excellent",,"Excellent","Yes","Spanish, French, Russian","None","Bilingual staff","5 minutes or less","Yes","10004","40.70627","-74.012909","101","1","1000812","1000220020","9","MN0101"
"06/01/2022","DORIS","DOR-M-01","Municipal Archives","31 Chambers Street","Manhattan",,,,,"Yes",,"Spanish, French, Russian, Chinese","Bilingual staff","5 minutes or less",,"10007","40.713402","-74.004635","101","1","1001670","1001530024","31","MN0102"
"06/01/2022","DORIS","DOR-M-03","Visitor Center","31 Chambers Street","Manhattan",,,,,"Yes","One or more languages (specific language not recorded)","One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","Yes","10007","40.713402","-74.004635","101","1","1001670","1001530024","31","MN0102"
"06/01/2022","DOT","DOT-Q-02","Parking Permits and Customer Service","30-30 Thomson","Queens",,,,"Excellent","No","None","None","Language Line","5 minutes or less","Yes",,,,,,,,,
"06/01/2022","DOT","DOT-K-01","Brooklyn Permit Office","16 Court St. Floor 15","Brooklyn","Spanish",,,"Good","No","None","N/A","None","N/A","No","11241","40.693445","-73.990577","302","33","3002108","3002500044","9","BK0201"
"06/01/2022","DOT","DOT-M-01","Manhattan Permit office","55 Water St.","Manhattan",,,"Good","Good","Yes","At least the 6 designated citywide languages or more","N/A","Bilingual staff","5 minutes or less","No","10041","40.703608","-74.009691","101","1","1083346","1000327501","9","MN0101"
"06/01/2022","DPR","DPR-Q-15","Lost Battalion Hall Recreation Center","93-29 Queens Blvd.","Queens",,,,,"Yes","One or more languages (specific language not recorded)","None","Bilingual staff",,,"11374","40.73147","-73.866044","406","24","4050408","4020770050","71702","QN0601"
"06/01/2022","DPR","DPR-M-15","Gertrude Ederle Recreation Center","533 W 59th St.","Manhattan","French-Creole",,"3",,"No","None","None","Other (Google Translate)","N/A","Yes","10019","40.770866","-73.98866","107","6","1086545","1011510015","147","MN0701"
"06/01/2022","DPR","DPR-K-08","Sunset Park Recreation Center","7th Ave. at 43rd St.","Brooklyn","French-Creole",,,"Excellent","Yes","One or more languages (specific language not recorded)","One or more languages (specific language not recorded)","Language Line","5-10 minutes","Yes",,,,,,,,,
"06/01/2022","DPR","DPR-K-02","Red Hook Recreation Center","155 Bay St.","Brooklyn",,,,"Fair","No","None","None","Bilingual staff","5-10 minutes","Yes","11231","40.671937","-74.003515","306","38","3008670","3005820001","5302","BK0601"
"06/01/2022","DPR","DPR-K-20","McCarren Park Recreation Center","776 Lorimer St.","Brooklyn","Spanish",,,,"Yes","None","None","Told to find a bilingual person in waiting area","5 minutes or less","Yes","11222","40.720182","-73.950375","301","33","3067525","3026960001","515","BK0102"
"06/01/2022","DPR","DPR-K-04","Metropolitan Pool & Fitness Center","261 Bedford Ave.","Brooklyn",,,,"Good","Yes","None","None","Bilingual staff","5 minutes or less","Yes","11211","40.715045","-73.960702","301","34","3062457","3023660004","553","BK0102"
"06/01/2022","DPR","DPR-Q-08","Sorrentino Recreation Center","18-48 Cornaga Ave.","Queens",,,,"Excellent","Yes","One or more languages (specific language not recorded)","One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","Yes","11691","40.602306","-73.751029","414","31","4298254","4155600050","101003","QN1401"
"06/01/2022","DPR","DPR-Q-04","AI Oerter Recreation Center","131-40 Fowler Ave.","Queens",,,,"Excellent","Yes","One or more languages (specific language not recorded)","None","Bilingual staff","5 minutes or less","Yes","11355","40.751616","-73.834155","407","20","4540092","4020180001","38302","QN8191"
"06/01/2022","DPR","DPR-Q-16","Flushing Meadows Corona Park Aquatic Center","Avery Ave. and 131 St.","Queens",,,,"Excellent","Yes","One or more languages (specific language not recorded)","One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","Yes",,,,,,,,,
"06/01/2022","DPR","DPR-B-13","Hunts Point Recreation Center","765 Manida St.","Bronx","Spanish",,,"Good","Yes","Spanish, Chinese, French","Spanish, French, Chinese","Bilingual staff","5 minutes or less","Yes","10474","40.815865","-73.888768","202","17","2109472","2027630001","9301","BX0201"
"06/01/2022","FDNY","FDN-K-02","Certificate of Fitness Testing Unit","9 Metrotech Center Fl. 1","Brooklyn","Spanish",,,"Excellent","No","None","N/A","Bilingual staff","5 minutes or less","Yes","11201","40.69486","-73.984674","302","33","3058187","3020470011","1502","BK0202"
"06/01/2022","FDNY","FDN-K-03","Public Records","9 Metrotech Center Fl. 1","Brooklyn","French-Creole",,,"Excellent","No","None","N/A","Bilingual staff","5 minutes or less","Yes","11201","40.69486","-73.984674","302","33","3058187","3020470011","1502","BK0202"
"06/01/2022","HRA","HRA-B-12","Fordham Job Center","2541 Bainbridge Ave.","Bronx","French-Creole",,,"Good","Yes","At least the 6 designated citywide languages or more","N/A","Language Line","5-10 minutes","Yes","10458","40.862345","-73.89335","207","15","2016777","2032930008","39901","BX0701"
"06/01/2022","HRA","HRA-B-17","Concourse SNAP","1375 Jerome Ave. Floor 2","Bronx",,,,"Excellent","Yes","None","One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","Yes","10452","40.839771","-73.918359","204","16","2008289","2028560020","219","BX0403"
"06/01/2022","HRA","HRA-B-20","Office of Child Support Bronx Family Court","900 Sheridan Ave.","Bronx",,"Excellent",,"Excellent","Yes","One or more languages (specific language not recorded)","None","Language Line","10-30 minutes","Yes","10451","40.826873","-73.920872","204","16","2002704","2024540001","18302","BX0401"
"06/01/2022","HRA","HRA-B-24","Office of Child Support Enforcement Bronx Borough Office","849 Garrison Ave. Fl. 1","Bronx",,,,"Excellent","Yes","One or more languages (specific language not recorded)","n/a","Bilingual staff","5 minutes or less","Yes","10474","40.816165","-73.892972","202","17",,,"9301","BX0201"
"06/01/2022","HRA","HRA-B-25","Concourse Job Center","1365 Jerome Ave.","Bronx",,"Excellent",,"Excellent","Yes","Spanish, Korean, French","One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","Yes","10452","40.839604","-73.918421","204","16","2008289","2028560020","219","BX0403"
"06/01/2022","HRA","HRA-K-16","Coney Island Medicaid Office","3050 W 21 St. Floor 3","Brooklyn","French-Creole","Excellent","Excellent","Excellent","Yes","At least the 6 designated citywide languages or more","One or more languages (specific language not recorded)","Language Line","5 minutes or less","Yes","11224","40.57353","-73.987448","313","47","3189654","3070710123","352","BK1302"
"06/01/2022","HRA","HRA-K-18","Coney Island Job Center","3050 W 21 St. Floor 1","Brooklyn","Spanish",,,,"Yes","None","None","Told to find a bilingual person in waiting area","5-10 minutes","Yes","11224","40.57353","-73.987448","313","47","3189654","3070710123","352","BK1302"
"06/01/2022","HRA","HRA-K-25","Office of Child Support Enforcement Brooklyn Borough Office","1 Metrotech Center Fl. 6","Brooklyn","French-Creole",,"2",,"No","None","None","Other (Google Translate)","N/A","Yes","11201","40.693463","-73.987227","302","33","3319418","3001470004","11","BK0202"
"06/01/2022","HRA","HRA-K-39","Brooklyn South Medicaid Office","785 Atlantic Avenue","Brooklyn",,"Good",,"Good","Yes","At least the 6 designated citywide languages or more","One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","Yes","11238","40.681962","-73.968434","302","35","3335094","3020090001","199","BK0204"
"06/01/2022","HRA","HRA-K-41","Refugee Job Center","32-20 Northern Blvd. Floor 5","Queens","Spanish",,"Excellent","Excellent","Yes","One or more languages (specific language not recorded)","One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","Yes","11101","40.75197","-73.931799","401","26","4003105","4002147501","17102","QN0161"
"06/01/2022","HRA","HRA-M-06","Chinatown Medicaid Office","115 Chrystie St. Fl. 5","Manhattan",,,,"Excellent","Yes","Chinese","Spanish, Chinese","Bilingual staff","5 minutes or less","Yes","10002","40.718647","-73.993586","103","1","1005645","1004230022","18","MN0302"
"06/01/2022","HRA","HRA-M-16","Metropolitan Hospital Medicaid Office","1901 First Ave.","Manhattan",,,,"Good","Yes","At least the 6 designated citywide languages or more","N/A","Bilingual staff","5 minutes or less","No","10029","40.784557","-73.94378","111","8","1083929","1016690001","15602","MN1101"
"06/01/2022","HRA","HRA-M-20","East End Job Center","2322 Third Ave.","Manhattan","French-Creole","Good","Good","Fair","Yes","One or more languages (specific language not recorded)","One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","Yes","10035","40.804465","-73.93526","111","8","1054497","1017750033","242","MN1102"
"06/01/2022","HRA","HRA-M-37","Office of Child Support Enforcement","151 West Broadway Fl. 4","Manhattan",,,"2",,"Yes","One or more languages (specific language not recorded)","N/A","Bilingual staff","5 minutes or less","No","10013","40.717242","-74.007853","101","1","1001621","1001480010","33","MN0102"
"06/01/2022","HRA","HRA-M-41","Business Link","123 William St. Fl. 6","Manhattan","Spanish",,,"Excellent","Yes","Spanish, Chinese, Russian","None","Bilingual staff","5 minutes or less","Yes","10038","40.709112","-74.006893","101","1","1079063","1000780004","1502","MN0101"
"06/01/2022","HRA","HRA-Q-13","Office of Child Support Enforcement Queens Borough Office","32-20 Northern Blvd. Floor 6","Queens","Spanish",,"Excellent","Excellent","Yes","One or more languages (specific language not recorded)","One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","Yes","11101","40.75197","-73.931799","401","26","4003105","4002147501","17102","QN0161"
"06/01/2022","HRA","HRA-Q-14","Queens SNAP","32-20 Northern Blvd. Floor 2","Queens","Spanish",,"Excellent","Excellent","Yes","One or more languages (specific language not recorded)","One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","Yes","11101","40.75197","-73.931799","401","26","4003105","4002147501","17102","QN0161"
"06/01/2022","HRA","HRA-Q-18","Queens Job Center","32-20 Northern Blvd. Floor 1","Queens","Spanish",,"Excellent","Excellent","Yes","One or more languages (specific language not recorded)","One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","Yes","11101","40.75197","-73.931799","401","26","4003105","4002147501","17102","QN0161"
"06/01/2022","HRA","HRA-Q-24","Queens Community Medicaid Office","32-20 Northern Blvd. Floor 3","Queens","Spanish",,"Excellent","Excellent","Yes","One or more languages (specific language not recorded)","One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","Yes","11101","40.75197","-73.931799","401","26","4003105","4002147501","17102","QN0161"
"06/01/2022","NYCHA","NHA-K-09","Brooklyn/Staten Island Customer Contact Center","787 Atlantic Ave.","Brooklyn","French-Creole",,,"Good","Yes","None","None","Bilingual staff","5 minutes or less","No","11238","40.681945","-73.968351","302","35","3335094","3020090001","199","BK0204"
"06/01/2022","SBS","SBS-B-01","Workforce1 Career Center","1029 E 163rd St Floor 3","Bronx","French-Creole","N/A",,"Good","Yes","One or more languages (specific language not recorded)","French, Spanish, Creole","Language Line","5-10 minutes","Yes","10459","40.820992","-73.891801","202","17","2005788","2027240190","159","BX0202"
"06/01/2022","SBS","SBS-M-02","Workforce1 Career Center","215 W 125th St.","Manhattan","Spanish",,,"Excellent","Yes","None","One or more languages (specific language not recorded)","Language Line",">30 minutes","Yes","10027","40.809259","-73.948979","110","9","1058659","1019310021","222","MN1001"
"06/01/2022","SBS","SBS-M-09","Workforce 1 Expansion Center","560 W 181st St.","Manhattan","Spanish",,,"Excellent","Yes","At least the 6 designated citywide languages or more","At least the 6 designated citywide languages or more","Bilingual staff","5 minutes or less","Yes","10033","40.848992","-73.932965","112","10","1081875","1021530081","269","MN1202"
"06/01/2022","SBS","SBS-Q-06","NYC Business Solutions Center","90-27 Sutphin Blvd Floor 4","Queens",,"Excellent",,"Excellent","Yes","One or more languages (specific language not recorded)","One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","Yes","11435","40.70234","-73.808148","412","27","4206784","4096770007","240","QN1201"
"06/01/2022","SBS","SBS-Q-07","Workforce 1 Expansion Center","1029 E 163rd St Floor 3","Queens",,,"Excellent","Excellent","Yes","One or more languages (specific language not recorded)","None","Language Line","5 minutes or less","Yes",,,,,,,,,
"06/01/2022","SBS","SBS-Q-10","Workforce 1 Sector - Based Expansion Center","1029 E 163rd St Floor 3","Queens","Spanish",,,"Excellent","Yes","One or more languages (specific language not recorded)","One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","Yes",,,,,,,,,
"06/01/2022","TLC","TLC-Q-01","Licensing Facility","31-00 47th Ave Floor 3","Queens",,,,,"No","One or more languages (specific language not recorded)","One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","N/A","11101","40.74306","-73.935652","402","26","4003539","4002810001","19902","QN0202"
"06/01/2014","HRA","HRA-M-10","Waverly SNAP","12 W 14th St. Fl. 4","Manhattan","French","N/A",,"Good","Yes",,"At least the 6 designated citywide languages or more","None","N/A","No","10011","40.736301","-73.994342","102","2","1009716","1005770034","63","MN0202"
"06/01/2022","CLERK","CCK-M-01","Borough Office","141 Worth St.","Manhattan","Spanish","1","N/A","Excellent","Yes","Spanish, Chinese , French , and Russian","Mandatory languages","Bilingual staff",,"Yes","10013","40.715093","-74.001948","101","1","1001830","1001660027","2901","MN0102"
"06/01/2022","CLERK","CCK-B-01","Borough Office","851 Grand Concourse","Bronx","Spanish","2","N/A","N/A","Yes","N","Spanish",,,"No","10451","40.826048","-73.923102","204","16","2002869","2024680001","6301","BX0401"
"06/04/2014","CLERK","CCK-M-01","Borough Office","141 Worth St.","Manhattan","French","N/A",,"Good","Yes","None","None","None","N/A","No","10013","40.715093","-74.001948","101","1","1001830","1001660027","2901","MN0102"
"06/05/2014","FDNY","FDN-K-02","Public Records","9 Metrotech Center Fl. 1","Brooklyn","French","N/A",,"Excellent","Yes",,"At least the 6 designated citywide languages or more","Language Line","5 minutes or less","No","11201","40.69486","-73.984674","302","33","3058187","3020470011","1502","BK0202"
"06/10/2014","DCWP","DCA-M-01","Licensing unit","42 broadway floor 5","Manhattan","French","N/A",,"Good","No","Spanish","None","None","N/A","No","10004","40.70627","-74.012909","101","1","1000812","1000220020","9","MN0101"
"06/10/2014","DCWP","DCA-M-02","Consumer Services","42 broadway floor 9","Manhattan","French","N/A",,"Poor","No","None","None","Bilingual staff","5 minutes or less","No","10004","40.70627","-74.012909","101","1","1000812","1000220020","9","MN0101"
"06/10/2014","DOHMH","DOH-M-14","Manhattan Early Intervention Office","42 Broadway Suite 1611","Manhattan","French","N/A",,"Good","Yes",,"None","None","N/A","No","10004","40.70627","-74.012909","101","1","1000812","1000220020","9","MN0101"
"06/10/2014","DOT","DOT-M-01","Manhattan Permit office","55 Water St.","Manhattan","French","N/A",,"Excellent","Yes",,"None","Language Line","5-10 minutes","Yes","10041","40.703608","-74.009691","101","1","1083346","1000327501","9","MN0101"
"06/11/2014","DCWP","DCA-M-04","Adjudications Unit","66 John St.","Manhattan","French","N/A",,"Fair","Yes","Several","One or more languages (specific language not recorded)","None","N/A","No","10038","40.708933","-74.007614","101","1","1079043","1000670001","1502","MN0101"
"06/11/2014","DOF","DOF-M-03","Manhattan Business Center","66 John St.","Manhattan","French","N/A",,"Excellent","Yes",,"None","Language Line","5 minutes or less","Yes","10038","40.708933","-74.007614","101","1","1079043","1000670001","1502","MN0101"
"06/11/2014","DOF","DOF-M-04","City Register","66 John St.","Manhattan","French","N/A",,"Fair","Yes",,"One or more languages (specific language not recorded)","None","N/A","No","10038","40.708933","-74.007614","101","1","1079043","1000670001","1502","MN0101"
"06/11/2014","DOI","DOI-M-03","Fingerprinting","83 Maiden Lane","Manhattan","French","N/A",,"Excellent","Yes",,"None","Bilingual staff","10-30 minutes","Yes","10038","40.707443","-74.007607","101","1","1001111","1000680007","1502","MN0101"
"06/11/2014","DPR","DPR-M-18","Alfred E. Smith Recreation Center","80 Catherine St.","Manhattan","French","N/A",,"Fair","No",,"None","None","N/A","No","10038","40.710729","-73.996631","103","1","1083357","1001110160","25","MN0301"
"06/11/2014","OATH","ATH-M-02","OATH Hearings Divison","66 John St. Floor 10","Manhattan","French","N/A",,"Excellent","Yes",,"One or more languages (specific language not recorded)","Language Line","5 minutes or less","Yes","10038","40.708933","-74.007614","101","1","1079043","1000670001","1502","MN0101"
"06/12/2014","BIC","BIC-M-01","Licensing Unit","100 Church St. Fl. 20","Manhattan","Spanish","N/A",,"Excellent","Yes","Only a few languages translated","One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","Yes","10007","40.712968","-74.00949","101","1","1001409","1001250020","21","MN0102"
"06/12/2014","DCAS","CAS-M-04","City Store","1 Centre St.","Manhattan","Spanish","N/A",,"Poor","Yes","None","None","None","Translation not provided","No","10007","40.713001","-74.004181","101","1","1001394","1001210001","2901","MN0102"
"06/12/2014","DFTA","DFA-M-02","Senior Employment Services","2 Lafayette St. Floor 6","Manhattan","French/Spanish","N/A","Excellent","Good","No","Spanish, Traditional Chinese, Others","None","None","Translation not provided","No","10007","40.713723","-74.003586","101","1","1001672","1001550001","31","MN0102"
"06/12/2014","DOB","DOB-M-04","Manhattan Borough Office","280 Broadway Floor 3","Manhattan","Spanish","N/A",,"Excellent","Yes","None","None","Bilingual staff","5 minutes or less","Yes","10007","40.714417","-74.006089","101","1","1079215","1001530001","31","MN0102"
"06/12/2014","DOHMH","DOH-M-03","Corrections-Birth/Death Certificate","125 Worth St. Rm. 144","Manhattan","Japanese","N/A",,"Good","No",,"None","None","Translation not provided","No","10013","40.715428","-74.002673","101","1","1001831","1001680032","31","MN0102"
"06/12/2014","DOHMH","DOH-M-08","Food Safety & Community Sanitation","125 Worth","Manhattan","Spanish","N/A",,"Excellent","Yes",,"One or more languages (specific language not recorded)","Bilingual staff","5-10 minutes","Yes",,,,,,,,,
"06/12/2014","HRA","HRA-M-06","Chinatown Medicaid Office","115 Chrystie St. Fl. 5","Manhattan","French","N/A",,"Poor","Yes",,"None","None","N/A","No","10002","40.718647","-73.993586","103","1","1005645","1004230022","18","MN0302"
"06/12/2014","HRA","HRA-M-07","Office of Child Support Enforcement Manhattan/Staten Island Borough Office","115 Chrystie St. Fl. 3","Manhattan","Spanish","N/A",,"Excellent","Yes",,"None","Bilingual staff","5 minutes or less","Yes","10002","40.718647","-73.993586","103","1","1005645","1004230022","18","MN0302"
"06/12/2014","HRA","HRA-M-29","Office of Child Suppport Enforcement - Manhattan","60 Lafayette St. Fl. 1","Manhattan","Spanish","N/A",,"Excellent","Yes",,"One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","Yes","10013","40.71646","-74.002327","101","1","1001842","1001710031","31","MN0102"
"06/12/2014","SBS","SBS-M-05","NYC Business Solution Center","79 John St.","Manhattan","French","N/A",,"Poor","Yes",,"None","None","N/A","No","10038","40.708461","-74.006875","101","1","1001186","1000770008","1502","MN0101"
"06/13/2014","CCRB","CRB-M-01","Civilian Complaints Against Police","100 Church St. Floor 10","Manhattan","French","N/A",,"Excellent","Yes","Spanish","Spanish","Bilingual staff","5 minutes or less","Yes","10007","40.712968","-74.00949","101","1","1001409","1001250020","21","MN0102"
"06/13/2014","DOI","DOI-M-01","Complaint Bureau","80 Maiden Lane","Manhattan","French","N/A",,"Poor","Yes",,"None","Told to return later","N/A","No","10038","40.707116","-74.007329","101","1","1001015","1000420031","7","MN0101"
"06/13/2014","TLC","TLC-M-04","Executive Offices","33 Beaver St. Floor 22","Manhattan","French","N/A",,"Poor","Yes",,"One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","No","10004","40.704967","-74.011711","101","1","1000817","1000240001","9","MN0101"
"06/16/2014","DPR","DPR-K-04","Metropolitan Pool & Fitness Center","261 Bedford Ave.","Brooklyn","French","N/A",,"Poor","Yes",,"None","None","N/A","No","11211","40.715045","-73.960702","301","34","3062457","3023660004","553","BK0102"
"06/16/2014","DPR","DPR-M-08","Tony Dapolito Recreation Center","3 Clarkson St.","Manhattan","Chinese","N/A",,"Fair","Yes",,"One or more languages (specific language not recorded)","None","N/A","No","10014","40.729379","-74.005737","102","3","1088894","1005820050","67","MN0203"
"06/16/2014","HRA","HRA-M-02","Union Square Job Center","109 East 16th St. Fl. 1","Manhattan","Chinese","N/A",,"Fair","Yes",,"One or more languages (specific language not recorded)","None","N/A","No","10003","40.735681","-73.988713","105","2","1017821","1008720013","50","MN0602"
"06/16/2014","HRA","HRA-M-03","Intensive Services Center","109 East 16th Street","Manhattan","Chinese","N/A",,"Excellent","Yes",,"None","Bilingual staff","5 minutes or less","No","10003","40.735681","-73.988713","105","2","1017821","1008720013","50","MN0602"
"06/16/2014","HRA","HRA-M-04","Senior Works","109 East 16th Street","Manhattan","French","N/A",,"Good","Yes",,"None","None","N/A","No","10003","40.735681","-73.988713","105","2","1017821","1008720013","50","MN0602"
"06/16/2014","HRA","HRA-M-09","Waverly Job Center","12 West 14 St.","Manhattan","Chinese","N/A",,"Good","Yes",,"None","None","N/A","No","10011","40.736301","-73.994342","102","2","1009716","1005770034","63","MN0202"
"06/17/2014","DOE","DOE-M-04","Student Enrollment","154 West 93rd St","Manhattan","Chinese","Excellent",,"Excellent","No",,"None","Language Line","5 minutes or less","No","10025","40.791709","-73.970802","107","7","1032522","1012230005","177","MN0702"
"06/17/2014","DPR","DPR-M-07","Manhattan Permit Office","24 West 61st  St. Fl. 5","Manhattan","Chinese","Good",,"Poor","No",,"None","None","N/A","No","10023","40.769965","-73.98266","107","6","1027194","1011130051","145","MN0701"
"06/17/2014","DPR","DPR-M-14","Chelsea Recreation center","430 W 25th St.","Manhattan","French/Russian","N/A",,"Excellent","Yes",,"None","Bilingual staff","5 minutes or less","No","10001","40.748291","-74.001649","104","3","1012811","1007220057","93","MN0401"
"06/17/2014","DPR","DPR-M-15","Gertrude Ederle Recreation Center","533 W 59th St.","Manhattan","French","N/A",,"Excellent","Yes",,"None","Language Line","5 minutes or less","Yes","10019","40.770866","-73.98866","107","6","1086545","1011510015","147","MN0701"
"06/17/2014","DPR","DPR-M-33","West 79th St. Boat Basin","W 79th St. & Hudson River","Manhattan","French","N/A",,"Poor","No",,"None","None","N/A","Yes",,,,,,,,,
"06/17/2014","NYPD","NYP-M-02","Tow Pound","Pier 76. W 38 & 12th Avenue","Manhattan","Chinese","N/A",,"Good","Yes",,"None","None","10-30 minutes","No","10018","40.758493","-74.004924","104","3","1000000","1006650010","9903","MN0401"
"06/18/2014","DHS","DHS-M-04","Adult Family Intake Center","400-430 E 30th St. Fl. 1","Manhattan","Tibetan","Excellent",,"Excellent","Yes",,"None","None","Translation not provided","No","10016","40.74113","-73.975017","106","4","1087298","1009620097","62","MN0603"
"06/18/2014","DOE","DOE-M-03","Student Enrollment","166 Essex Street Room 128","Manhattan","Spanish","Excellent",,"Excellent","Yes",,"One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","Yes","10002","40.72154","-73.986648","103","1","1004325","1003550001","3001","MN0302"
"06/18/2014","DOE","DOE-M-08","Student Enrollment","400 1st Ave","Manhattan","Spanish","Excellent",,"Fair","Yes",,"None","Bilingual staff","10-30 minutes","Yes","10010","40.737159","-73.978331","106","4","1022052","1009550001","62","MN0603"
"06/18/2014","DOHMH","DOH-Q-08","Jamaica Sexual Health Clinic","90-37 Parsons Blvd. Fl. 1","Queens","Chinese","Fair",,"Excellent","Yes",,"Spanish","Language Line","10-30 minutes","Yes","11432","40.703826","-73.800483","412","27","4208836","4097560006","44601","QN1201"
"06/18/2014","DOHMH","DOH-Q-09","Queens Early Intervention Office","90-27 Parsons Blvd. Fl. 2","Queens","French","N/A",,"Excellent","Yes",,"None","Bilingual staff","5 minutes or less","Yes","11432","40.704136","-73.80067","412","27","4595378","4097560006","44601","QN1201"
